##### Z-Curve Predictions #####
# Format = (NB,DT,SVM,PLS)
# Rows are the training sets and columns are the testing sets

# Correct Rate
TRAIN\TEST	COD1                    	COD2                    	NCOD                    	RAND                    	MIX1                    	MIX2                    	CTRL
COD1      	(79.20, 65.66, 80.56, 78.09)	(88.40, 68.77, 90.41, 86.20)	(81.19, 64.24, 84.03, 77.46)	(77.65, 61.34, 81.49, 73.72)	(79.90, 77.05, 90.40, 77.43)	(84.12, 67.17, 87.10, 81.45)	(67.64, 56.31, 73.31, 56.10)	
COD2      	(64.34, 60.02, 72.08, 68.23)	(85.96, 75.86, 84.90, 83.97)	(80.13, 71.94, 84.56, 81.48)	(74.30, 69.09, 79.98, 77.86)	(70.83, 64.68, 77.93, 74.37)	(84.51, 82.45, 91.40, 85.48)	(56.09, 58.01, 63.78, 55.97)	
NCOD      	(62.33, 56.09, 64.04, 64.93)	(83.80, 71.88, 85.09, 85.15)	(84.01, 73.20, 84.42, 83.40)	(79.20, 70.08, 80.90, 79.98)	(73.42, 73.07, 80.30, 75.21)	(85.63, 82.04, 91.38, 86.42)	(60.54, 59.60, 59.69, 57.83)	
RAND      	(63.27, 56.10, 69.73, 60.77)	(84.45, 71.72, 86.67, 81.87)	(84.91, 72.72, 88.10, 82.34)	(81.93, 70.00, 81.17, 81.38)	(73.11, 63.00, 78.70, 70.58)	(84.91, 72.00, 87.79, 82.27)	(67.98, 60.92, 70.56, 57.21)	
MIX1      	(72.80, 77.36, 86.53, 72.12)	(88.51, 72.96, 89.79, 87.09)	(86.19, 81.93, 92.12, 84.22)	(82.20, 69.97, 84.36, 79.97)	(79.21, 66.62, 80.80, 79.18)	(87.75, 77.31, 90.66, 85.49)	(66.63, 62.52, 68.95, 56.34)	
MIX2      	(64.68, 58.04, 69.60, 65.61)	(86.68, 83.21, 92.61, 87.37)	(84.09, 82.46, 90.71, 83.95)	(78.11, 70.12, 80.18, 79.13)	(73.38, 68.83, 79.52, 73.52)	(85.26, 73.37, 84.53, 84.35)	(61.51, 60.02, 66.18, 56.82)	
CTRL      	(49.33, 48.75, 63.82, 22.81)	(65.85, 56.41, 75.35, 26.58)	(68.76, 59.48, 78.86, 27.72)	(65.59, 59.12, 78.60, 28.44)	(56.42, 53.27, 70.40, 23.55)	(65.62, 57.42, 75.78, 29.02)	(86.26, 74.05, 83.87, 75.41)	

# Sensitivity
TRAIN\TEST	COD1                    	COD2                    	NCOD                    	RAND                    	MIX1                    	MIX2                    	CTRL
COD1      	(79.68, 64.77, 75.79, 80.21)	(79.68, 64.77, 75.79, 80.21)	(79.68, 64.77, 75.79, 80.21)	(79.68, 64.77, 75.79, 80.21)	(79.68, 64.77, 75.79, 80.21)	(79.68, 64.77, 75.79, 80.21)	(79.68, 64.77, 75.79, 80.21)	
COD2      	(85.02, 75.34, 78.57, 78.24)	(85.02, 75.34, 78.57, 78.24)	(85.02, 75.34, 78.57, 78.24)	(85.02, 75.34, 78.57, 78.24)	(85.02, 75.34, 78.57, 78.24)	(85.02, 75.34, 78.57, 78.24)	(85.02, 75.34, 78.57, 78.24)	
NCOD      	(82.73, 72.98, 82.71, 80.11)	(82.73, 72.98, 82.71, 80.11)	(82.73, 72.98, 82.71, 80.11)	(82.73, 72.98, 82.71, 80.11)	(82.73, 72.98, 82.71, 80.11)	(82.73, 72.98, 82.71, 80.11)	(82.73, 72.98, 82.71, 80.11)	
RAND      	(81.98, 69.95, 77.08, 84.05)	(81.98, 69.95, 77.08, 84.05)	(81.98, 69.95, 77.08, 84.05)	(81.98, 69.95, 77.08, 84.05)	(81.98, 69.95, 77.08, 84.05)	(81.98, 69.95, 77.08, 84.05)	(81.98, 69.95, 77.08, 84.05)	
MIX1      	(79.47, 66.50, 78.18, 80.90)	(79.47, 66.50, 78.18, 80.90)	(79.47, 66.50, 78.18, 80.90)	(79.47, 66.50, 78.18, 80.90)	(79.47, 66.50, 78.18, 80.90)	(79.47, 66.50, 78.18, 80.90)	(79.47, 66.50, 78.18, 80.90)	
MIX2      	(83.46, 72.41, 79.59, 81.65)	(83.46, 72.41, 79.59, 81.65)	(83.46, 72.41, 79.59, 81.65)	(83.46, 72.41, 79.59, 81.65)	(83.46, 72.41, 79.59, 81.65)	(83.46, 72.41, 79.59, 81.65)	(83.46, 72.41, 79.59, 81.65)	
CTRL      	(83.92, 74.13, 71.64, 96.53)	(83.92, 74.13, 71.64, 96.53)	(83.92, 74.13, 71.64, 96.53)	(83.92, 74.13, 71.64, 96.53)	(83.92, 74.13, 71.64, 96.53)	(83.92, 74.13, 71.64, 96.53)	(83.92, 74.13, 71.64, 96.53)	

# Specificity
TRAIN\TEST	COD1                    	COD2                    	NCOD                    	RAND                    	MIX1                    	MIX2                    	CTRL
COD1      	(78.73, 66.52, 85.19, 76.03)	(89.25, 69.16, 91.83, 86.78)	(81.34, 64.19, 84.84, 77.19)	(77.45, 61.00, 82.06, 73.07)	(79.92, 78.25, 91.83, 77.16)	(84.55, 67.40, 88.21, 81.57)	(66.43, 55.46, 73.06, 53.69)	
COD2      	(62.33, 58.53, 71.45, 67.25)	(86.87, 76.35, 91.04, 89.55)	(79.65, 71.61, 85.15, 81.80)	(73.23, 68.46, 80.12, 77.82)	(69.44, 63.64, 77.86, 73.99)	(84.47, 83.15, 92.65, 86.19)	(53.20, 56.28, 62.31, 53.75)	
NCOD      	(60.34, 54.45, 62.23, 63.45)	(83.90, 71.77, 85.32, 85.64)	(85.26, 73.42, 86.10, 86.63)	(78.85, 69.79, 80.72, 79.97)	(72.50, 73.08, 80.06, 74.73)	(85.92, 82.93, 92.23, 87.04)	(58.32, 58.26, 57.39, 55.60)	
RAND      	(61.45, 54.75, 69.02, 58.51)	(84.69, 71.89, 87.60, 81.66)	(85.19, 72.99, 89.18, 82.17)	(81.88, 70.05, 85.26, 78.71)	(72.24, 62.32, 78.85, 69.27)	(85.20, 72.20, 88.84, 82.09)	(66.58, 60.02, 69.91, 54.53)	
MIX1      	(72.15, 78.41, 87.34, 71.27)	(89.39, 73.58, 90.92, 87.69)	(86.85, 83.45, 93.49, 84.54)	(82.47, 70.31, 84.98, 79.87)	(78.96, 66.73, 83.36, 77.49)	(88.57, 78.37, 91.88, 85.94)	(65.35, 62.12, 68.02, 53.88)	
MIX2      	(62.86, 56.64, 68.63, 64.06)	(86.99, 84.26, 93.88, 87.93)	(84.15, 83.45, 91.80, 84.18)	(77.57, 69.89, 80.24, 78.88)	(72.40, 68.48, 79.51, 72.72)	(87.01, 74.30, 89.36, 87.00)	(59.32, 58.78, 64.84, 54.34)	
CTRL      	(45.97, 46.28, 63.06, 15.65)	(64.10, 54.69, 75.71, 19.78)	(67.27, 58.04, 79.57, 20.95)	(63.75, 57.62, 79.29, 21.63)	(53.73, 51.23, 70.28, 16.41)	(63.83, 55.78, 76.18, 22.42)	(88.60, 73.98, 96.11, 54.30)	

# PPV
TRAIN\TEST	COD1                    	COD2                    	NCOD                    	RAND                    	MIX1                    	MIX2                    	CTRL
COD1      	(78.44, 65.26, 83.25, 76.47)	(41.85, 16.94, 47.41, 37.08)	(29.59, 15.11, 32.98, 25.71)	(26.11, 14.24, 29.69, 22.95)	(27.97, 22.56, 47.57, 25.57)	(33.54, 16.28, 38.61, 29.87)	(19.18, 12.69, 21.96, 14.76)	
